"Mifune""s Last Song (Mifunes sidste sang)",2009,Leroy Clackson,3.58,Comedy|Drama|Romance
Superweib. Das,2008,Lulita de Wilde,9.61,Comedy
Rapid Fire,2004,Bobby Hounsham,0.94,Action|Crime|Thriller
Spice World,2006,Jaimie Dumbarton,7.12,Comedy
Last of the Unjust. The (Dernier des injustes. Le),2002,Vania Gerault,8.22,Documentary
Attack. The,2002,Hedwig Dur,2.49,Drama
3rd Voice. The,2004,Kennett Halkyard,7.56,Crime|Drama|Thriller
No Time for Love,2010,Malorie Swindin,9.22,Comedy|Romance
Christine Jorgensen Story. The,2005,Orbadiah Haslin,7.93,Drama
Corpo Celeste,1997,Orren Frenzl,3.68,Drama
Arctic Tale,1998,Luciano Becaris,7.29,Documentary
Vampire in Brooklyn,2002,Clarissa Santon,0.69,Comedy|Horror|Romance
"Devil""s Carnival. The",1997,Melitta Tweedy,7.93,Horror|Musical
Coming Home (Gui lai),1996,Violet Loft,0.01,Drama
Decision Before Dawn,1970,Temple Freyn,2.83,Drama|War
Together (Han ni Zai Yiki),2000,Joe Baglow,1.33,Drama
Sudden Fear,1998,Benjie Strettle,4.19,Film-Noir|Horror|Thriller
To Be King (Koning van Katoren),1995,Cristine Kopec,2.49,Adventure
Paisan (Paisà),2009,Lidia Crossthwaite,1.68,Drama|War
After the Sunset,1989,Oby Gullyes,4.76,Action|Adventure|Comedy|Crime|Thriller
Twist,2001,Geno Storek,8.2,Drama
Brave. The,2009,"Fiorenze O""Sheilds",8.55,Drama
Bad Luck Love,1995,Aubrey Tomaszczyk,0.95,Crime|Drama
Rains Came. The,2003,Enrichetta Stilldale,6.56,Adventure|Drama|Romance
Pekka ja Pätkä neekereinä,2000,Blanche Harpin,5.57,Comedy
Sensation of Sight. The,2001,Carlynn Elcott,2.53,Drama
Broadway Melody of 1936,1997,Henryetta Ewin,9.83,Musical|Romance
Magadheera,2008,Angeli Carnegie,7.67,Action|Adventure|Fantasy|Romance
Even Cowgirls Get the Blues,2010,Gene Arent,0.64,Comedy|Romance
Testament,2003,Jeremie Shinner,5.04,Drama
Taming the Fire (Ukroshcheniye ognya),1994,Quinn Dyke,5.47,Documentary|Drama|Sci-Fi
Crows Zero (Kurôzu zero),2011,Stavro Frazier,0.98,Action
Shot in the Heart,1985,Edwin Treher,9.59,Crime|Drama
Birdemic: Shock and Terror,2008,Samuele Kenrick,6.69,Romance|Thriller
So Proudly We Hail!,2001,Cristina Yakobowitch,0.84,Drama|Romance|War
Hansel & Gretel,2011,Mariele Rigardeau,9.07,Drama|Fantasy|Horror|Mystery|Thriller
Barbary Coast Gent (Gold Town) (Honest Thief. The),1994,Tersina Mighele,9.89,Comedy|Western
Barefoot Contessa. The,2008,Ki Dominique,3.74,Drama
Kai Po Che!,1996,Jo-ann Rivard,5.05,Drama
Storefront Hitchcock,2009,Tobias Abberley,2.17,Documentary|Musical
About Elly (Darbareye Elly),1997,Frankie Molineux,0.05,Drama|Mystery
Debut. The,1987,Gard Gadie,3.44,Comedy|Drama
French Roast,2012,Edyth Meier,4.12,Animation|Comedy
Beetlejuice,1996,Sorcha Blondel,5.73,Comedy|Fantasy
"Des gens qui s""embrassent",2006,Jens Le Prevost,9.19,Comedy|Romance
In Darkness,1999,Dianemarie Goodfellow,6.96,Drama
Salvador,1985,Whitney Nertney,9.25,Drama|Thriller|War
One and Only. Genuine. Original Family Band. The,2011,Delphinia MacKeever,5.68,Children|Comedy|Musical
Small Cuts (Petites coupures),2002,Nolan Jenno,0.19,Drama|Romance
Feuerzangenbowle. Die,2007,Salaidh Lampens,9.25,Comedy
Ellen DeGeneres: The Beginning,1988,Lauree Kitchaside,7.63,Comedy
Hangover. The,1992,Scarface Loverock,4.34,Comedy|Crime
Open Season 3,1994,Scot Capron,7.08,Animation|Children|Comedy
Tomorrow Night,2006,Ebonee Terran,3.11,Comedy|Drama
"Won""t Back Down",2013,Sutherlan Saxelby,6.0,Drama
My Last Five Girlfriends,1997,Paxton Greiser,2.11,Comedy
Somewhere in the City,2012,Therese Ghiotto,9.86,Comedy|Drama
Wind That Shakes the Barley. The,2007,Kissie Grumble,4.12,Drama|War
"You""ve Been Trumped",2008,Chuck Aston,0.98,Documentary
Hiroshima Mon Amour,2003,Pepita Dohms,3.55,Drama|Romance|War
Focus,1994,Cully Allsep,9.34,Drama
To Kill with Intrigue (Jian hua yan yu Jiang Nan),2003,Bridgette Renoden,0.18,Action|Drama
Tokyo.Sora,2011,Gustave Samber,1.8,Drama
Captain America,1991,Benedict Veevers,3.67,Action|Fantasy|Sci-Fi|Thriller|War
Two Little Boys,2005,Zita Bartel,4.85,Comedy
Deep Water,1985,Syman Underwood,3.55,Documentary
Grass Harp. The,1998,Rubi Gerrelts,6.34,Comedy|Drama
White God (Fehér isten),2012,Marin Guitonneau,6.3,Drama
About Elly (Darbareye Elly),1992,Mattie Kirman,2.65,Drama|Mystery
Phase 7,1992,Karisa Baus,4.03,Comedy|Sci-Fi|Thriller
Little White Lies (Les petits mouchoirs),2007,Junia Allcoat,0.92,Comedy|Drama
Mi Amigo Hugo,2012,Salim Billham,1.06,Documentary
Ca$h,2001,Holden Chidzoy,1.65,Crime|Thriller
Strada. La,1984,Angelika Bovis,6.72,Drama
Off Beat,2011,Merl Sainter,3.22,Comedy|Romance
Adventures of Priscilla. Queen of the Desert. The,1992,Hakim Itchingham,2.13,Comedy|Drama
Way. The,1995,Tybie MacPhail,0.29,Drama
Grudge 2. The,2004,Quentin Breazeall,8.48,Drama|Horror|Mystery|Thriller
My Crazy Life (Mi vida loca),2006,Jory Slocombe,8.41,Drama
Crazy Kind of Love,2004,Germain Rhubottom,0.44,Comedy|Drama|Romance
House Party,1992,Con Wolver,8.45,Comedy
Safety Not Guaranteed,2010,Garreth Sandlin,4.26,Comedy|Drama
Dream Home (Wai dor lei ah yut ho),2002,"Catriona D""Cruze",5.81,Horror
Queens Logic,2000,Susanetta Gencke,6.81,Comedy|Drama
"My Father""s Glory (La gloire de mon père)",2006,Anne Besset,3.92,Adventure|Drama
So Much Water,2003,Janaya Gever,1.76,Comedy|Drama
Fateless (Sorstalanság),2008,Coletta Frisch,0.13,Drama|War
Loose Change: Second Edition,1990,Karlotta McNabb,3.37,Documentary|Mystery
Spider-Man 2,1993,Randal Scotchmur,5.27,Action|Adventure|Sci-Fi|IMAX
Powers of Ten,1994,Haze Hurlston,8.45,Documentary
Hard to Be a God,2011,Aggie Winham,8.71,Sci-Fi
Be Kind Rewind,2003,Baron Dossett,0.91,Comedy
Escape from Fort Bravo,1991,Ted Granville,8.63,Western
Act of Valor,1993,Wald Braksper,1.47,Action|Thriller|War
Missing William,2010,Cammie Monks,5.16,Drama
GhostWatcher,2003,Sosanna Edinboro,3.13,Horror|Mystery|Sci-Fi
Dreamboat,2011,Babette Bassham,5.37,Comedy
Italian. The (Italianetz),2010,Gwynne Keave,4.08,Drama
Q & A,2001,Jenilee Crouse,0.23,Crime|Drama
Maya Lin: A Strong Clear Vision,2006,Gherardo Mears,8.92,Documentary
Alias the Doctor,2008,Garrik Stanistrete,9.13,Drama
Ruggles of Red Gap,1965,Shir Corry,2.8,Comedy|Romance
Snowpiercer,2003,Vernice Feary,4.04,Action|Drama|Sci-Fi
Lifted,2001,Alvira Lamberton,1.83,Animation|Comedy|Sci-Fi
Encore,1994,Helen-elizabeth Gilhool,3.15,Comedy|Drama
At Middleton,1994,Meredith Blofield,6.75,Comedy|Romance
American Raspberry (Prime Time) (Funny America),1979,Terrel St. Aubyn,1.41,Comedy
Operator 13,2001,Millard Morford,2.23,Drama|Romance|War
Armageddon,2012,Maridel Edelheit,7.15,Action|Romance|Sci-Fi|Thriller
The Girl from the Marsh Croft,2006,Chantalle Hargie,2.0,(no genres listed)
20th Century Boys - Chapter 1: Beginning of the End,2000,Gabrila Anthonsen,4.12,Adventure|Mystery|Sci-Fi
American Me,2008,Hyacinthia Ham,5.77,Drama
Dead Fish,2010,Wilfrid Neeson,0.07,Action|Comedy|Drama|Thriller
SIS,2009,Giordano Bax,8.97,Action|Crime|Drama|Thriller
Typhoon (Tae-poong),1988,Amerigo Guly,2.85,Action|Drama|Thriller
Groove,1992,Carmencita Fanning,0.06,Drama
Phantom Carriage. The (Körkarlen),2009,Lonna Childs,4.99,Drama
St. Francisville Experiment. The,1996,Roma Bim,5.23,Horror|Thriller
Uuno in Spain,1998,Leona Cauderlie,0.64,Comedy
Won Ton Ton: The Dog Who Saved Hollywood,2011,Smitty Shearn,9.95,Comedy
Bed & Breakfast: Love is a Happy Accident (Bed & Breakfast),2013,Peria Gerner,1.59,Comedy|Romance
Under the Same Moon (Misma luna. La),2009,Gard Sket,9.91,Drama
Guardian. The,2011,Deedee Troake,7.3,Action|Adventure|Drama
Last Life in the Universe (Ruang rak noi nid mahasan),2006,Carla Frostdyke,8.08,Drama|Romance
Departed. The,1996,Kassey Ygou,9.46,Crime|Drama|Thriller
21 Grams,1995,Rudiger Siegertsz,0.97,Crime|Drama|Mystery|Romance|Thriller
Lovecraft: Fear of the Unknown,1985,Raul Geekin,1.79,Documentary
New Guy. The,1998,Abbey Corke,7.51,Comedy
Sierra. La,1993,Fabe Batchelour,9.29,Documentary
Exhibition,1999,Rudy Szymon,6.25,Drama
Dance Me Outside,2007,Butch McGlone,8.47,Comedy|Drama
Bachelorette,2003,Berrie Briars,2.26,Comedy
Keys of the Kingdom. The,1998,Michal Thewys,3.09,Drama
Persona,2003,Lacy McArdle,2.28,Drama
Chronicle,2009,Clair Rump,1.87,Action|Sci-Fi|Thriller
Airport 1975,1993,Hilliard Buxsy,9.76,Action|Drama|Thriller
Golden Compass. The,2000,Adrianne Ossenna,6.04,Adventure|Children|Fantasy
Dragonslayer,2001,Marcela Moreinu,1.83,Action|Adventure|Fantasy
Room Service,2007,Willabella Yablsley,3.48,Comedy
Enthusiasm (Entuziazm: Simfoniya Donbassa),2004,Raviv Wemes,2.77,Documentary
Talk of Angels,1997,Vassily Hards,7.84,Drama
Pier. The (Jetée. La),1998,Myrtice Beedell,0.14,Romance|Sci-Fi
Harvie Krumpet,2004,Paddie Orts,8.5,Animation|Comedy|Drama
The Violent Kind,1972,Augustina Courtois,5.58,Horror
Desperate,2004,Huntington Skim,4.12,Drama|Film-Noir
Little World of Don Camillo. The (Petit monde de Don Camillo. Le),1988,Marcelia Gabler,1.01,Comedy
"Cirque du Freak: The Vampire""s Assistant",1998,Olwen Bassick,1.72,Action|Adventure|Comedy|Fantasy|Horror|Thriller
Free Willy 2: The Adventure Home,2001,Dyan Hallan,6.98,Adventure|Children|Drama
Miehen tie,2005,Isabelle Gilbey,4.63,Drama
Pretty Baby,2008,Bordie Blackly,1.65,Drama
Mushrooming (Seenelkäik),1999,Hartley Pawlett,4.88,Adventure|Comedy|Thriller
My Avatar and Me (Min Avatar og mig),2004,Staffard Knyvett,4.75,Documentary
Undiscovered,1994,Robinett McGebenay,0.97,Comedy|Drama|Romance
Story of a Prostitute (Shunpu den),2001,Erica Cumberland,7.55,Drama|War
Pusher II: With Blood on My Hands,1996,Clyde Dominka,1.94,Action|Crime|Drama|Thriller
Mahakaal (The Monster),1998,Marion Harwin,7.75,Horror
Christmas in Conway,2001,Launce Chrippes,8.31,Drama|Romance
Amor brujo. El (Love Bewitched. A),1999,Dalston Dews,8.27,Drama|Musical
Zigeunerweisen (Tsigoineruwaizen),2007,Ros Twatt,6.65,Horror|Mystery
On the Edge (Hak bak do),2009,Rheta Camier,1.56,Crime|Drama
Lusty Men. The,2003,Horatius Sulley,7.58,Action|Drama|Western
"Emperor""s Naked Army Marches On. The (Yuki Yukite shingun)",1994,Katalin Casiroli,1.13,Documentary
Revolutionary Road,1999,Kipper Bisley,9.11,Drama|Romance
"Don""t Look Back (Ne te retourne pas)",2004,Constancia MacInherney,6.06,Drama|Horror|Mystery|Thriller
"Mackenna""s Gold",1992,Lorrie Helbeck,1.77,Western
I Am Jesus,2011,Scot Wooller,3.55,Documentary
Family Tree,2010,Erhart Botha,7.05,Drama
Takers,2007,Quint Wringe,7.06,Action|Crime|Thriller
Twin Sisters (De tweeling),2006,Felicio Castagnier,8.28,Drama|Romance|War
Freaks,1992,Ellsworth Archbould,2.31,Crime|Drama|Horror
Without Warning (a.k.a. Alien Warning) (a.k.a. It Came Without Warning),2013,Ashlan Manuely,6.52,Horror|Sci-Fi
8 (8. the Play),1992,Ange Heare,8.89,Drama
Arrival of a Train. The,2002,Huey Westall,2.43,Documentary
Mare Nostrum,2008,Marlon Issac,3.82,War
Stella,1998,Clemence Conisbee,2.51,Drama
B. Monkey,1997,Quincy Dodds,8.59,Crime|Romance|Thriller
Details. The,2008,Randi Berndtsson,9.35,Comedy
Yves Saint Laurent,1990,Lodovico Warnes,0.28,Drama|Romance
Bliss (Mutluluk),1995,Nola Semeniuk,0.14,Drama
Man Who Never Was. The,1996,Addy Burden,8.27,Drama|War
Anna and the King of Siam,2005,Puff Malster,0.76,Drama|Romance
Gods Must Be Crazy III. The (a.k.a. Crazy Safari) (Fei zhou he shang),2008,Rochella Perrelli,6.5,Comedy|Fantasy
Rasputin and the Empress,1986,Gregoor Kyd,2.85,Drama
P.U.N.K.S,1994,Cynthea Simoncello,8.31,Children|Comedy|Sci-Fi
Seance (Kôrei),1997,Floyd Perillo,8.84,Drama|Horror|Thriller
Service (Serbis),2004,Wheeler Kernes,5.43,Drama
Snake of June. A (Rokugatsu no hebi),1990,Alicia Osgordby,0.47,Drama|Mystery
Bal (Honey),1999,Spence Seelbach,1.96,Drama
"Mr. Magorium""s Wonder Emporium",2005,Nicky Francke,0.06,Children|Comedy|Fantasy
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),2005,Karoly Hanbury-Brown,5.0,Crime|Drama|Thriller
Advertising and the End of the World,2004,Henrietta Casserley,4.37,Documentary
Songs From the Second Floor (Sånger från andra våningen),1996,Suzanna Tice,4.33,Drama
Expelled: No Intelligence Allowed,1995,Hasheem Suttle,5.02,Documentary
Whistle Down the Wind,2000,Jayne Esherwood,2.48,Drama
Made in U.S.A.,1992,Freddie Furlow,2.17,Crime|Mystery
Beginning of the End,2000,Francisco Bendin,7.57,Sci-Fi
Rosewood,2000,Ev Sidey,3.76,Action|Drama
Cut and Run (Inferno in diretta),2002,Urbanus Atkinson,7.01,Adventure|Horror|Thriller
Sodom and Gomorrah,1988,Marrilee Hallas,1.4,Adventure|Drama
"She""s Out of Control",2012,Jill Dietsche,8.19,Comedy
Joe + Belle,2003,Fayette Meace,1.8,Comedy|Crime|Drama|Romance
Beaufort,2000,Blinni Ginn,5.4,Action|Drama|War
Truman Show. The,2009,Liam Biddlestone,9.35,Comedy|Drama|Sci-Fi
Black Knight,2010,Raychel Eddington,6.98,Adventure|Comedy|Fantasy
In & Out,1995,Dorelle Lane,0.87,Comedy
Breakdown,1997,Robert Ferreira,2.1,Action|Thriller
Citizen Gangster ,1987,Devi Alleyne,2.78,Crime|Drama
Boy on a Dolphin,1989,Clara Cropper,5.56,Adventure|Romance
Noise,2004,Miquela Pobjay,3.36,Comedy|Drama
Kiss. The,2011,Dallis Seefus,3.23,Horror
Mr. Moto Takes a Chance,2002,Adrea Dabourne,1.46,Crime|Drama|Mystery
10 Items or Less,1989,Saundra Dugget,0.63,Comedy|Drama|Romance
Girl. Interrupted,1989,Sue Sabatier,3.47,Drama
Love You You,2001,Boy McTrustram,9.15,Romance
Hunchback of Notre Dame. The,2010,Cinnamon Shevels,0.99,Drama|Horror
Hot Rod,1993,Roanne Letty,8.34,Comedy
Abbott and Costello Meet the Keystone Kops,1993,Stephana Paolicchi,0.75,Comedy
Screamtime,1995,Yves Paffett,6.4,Fantasy|Horror
Heli,1993,Frederik Stangoe,1.98,Crime|Drama
Mystic Masseur. The,2007,Lucian Masham,2.63,Drama
Suicide Kings,1994,Salaidh Longfoot,3.04,Comedy|Crime|Drama|Mystery|Thriller
Baby-Sitters Club. The,2002,Ida Figgins,2.91,Children
Charlotte Gray,1965,Janaye Foffano,2.65,Drama|Romance
Mars Attacks!,1974,Rachelle Wilber,0.26,Action|Comedy|Sci-Fi
Dead Snow 2: Red vs. Dead ,2005,Elvis Pardie,9.96,Action|Comedy|Horror
Return of the King. The,1988,Susanna Shelly,2.56,Adventure|Animation|Fantasy|Musical
Jour se lève. Le (Daybreak),2011,Joelie De Minico,4.74,Crime|Drama|Romance|Thriller
Brave Little Toaster. The,2006,Rosabelle Ainger,8.15,Animation|Children
Salaam-E-Ishq,1987,Giacinta Artus,4.06,Comedy|Drama|Musical|Romance
This Is the Night,2012,Saidee Lockhurst,4.35,Comedy
Live Nude Girls,2007,Donny Littrick,7.1,Comedy
Afternoon Delight,2004,Lisle Speechly,6.11,Comedy|Drama
Pearl. The (La perla),1990,Paul Pleaden,3.94,Adventure|Drama|Romance
Katy Perry: Part of Me,2013,Sibyl Christophe,6.62,Documentary|Drama
Staying Together,2006,Philip Benam,1.55,Comedy|Drama
Cyberbully,2005,Salomi Rosettini,1.61,Drama
"Tim and Eric""s Billion Dollar Movie",1999,Emmey Marushak,0.06,Comedy
Jimmy Rosenberg: The Father. the Son & the Talent,2008,Korey McMonies,1.28,Documentary
My Dear Desperado,2003,Kale Parmiter,2.32,Comedy
Mona and the Time of Burning Love (Mona ja palavan rakkauden aika)),1999,Valentine Timms,4.41,Drama
Three Wishes,1998,Galvan Colkett,4.34,Drama|Fantasy
Kansas,2001,Bart Georgeau,4.59,Crime|Drama
Bride of Boogedy,1996,Harris Yersin,3.74,Adventure|Children|Drama|Western
12 Days of Terror,2005,Nicko Probbings,8.98,Drama|Horror|Thriller
Escape From Tomorrow,1998,Georgy Dunster,8.0,Drama|Fantasy|Horror
All Good Things,2004,Annabel Brager,5.56,Drama|Mystery|Thriller
Best Little Whorehouse in Texas. The,2011,Winifred Hebson,8.43,Comedy|Drama|Musical|Romance
Slave Ship,2013,Steward Mandrake,7.21,Adventure|Drama
Matchstick Men,2006,Alisa Ioselev,5.33,Comedy|Crime|Drama
My Girl,2002,Robers Buntine,5.64,Comedy|Drama|Romance
From B Movie to Cult Film: Western,2011,Leone Cramb,4.11,Adventure|Documentary
Play Dirty,2000,Lincoln Leggett,3.17,Action|Adventure|Drama|War
Secrets of Jonathan Sperry. The,2010,Kristine Kops,5.43,Drama
Maytime,2007,Fabien Martinon,4.16,Drama|Musical|Romance
Paranormal Activity: The Marked Ones,2011,Bogart Yourell,7.95,Horror|Thriller
Black Pirate. The,1986,Tallou Petyt,2.91,Action|Adventure
Manhattan Melodrama,2002,Doris Rimmington,6.62,Crime|Drama|Romance
Bring It On: All or Nothing,2009,Anneliese Skylett,7.87,Comedy
Edge of Seventeen,2010,Vannie Burker,7.04,Comedy|Drama|Romance
Judy Berlin,1995,Bridgette Cromarty,3.07,Drama
Crimes Against Humanity,2004,Gwendolyn Boyen,2.15,Comedy
Robin Hood: Men in Tights,2007,Tillie Murtimer,6.08,Comedy
My Friends (Amici miei),2000,Jacinda Pawelke,3.01,Comedy
Down by Law,2001,Virgie Ody,9.23,Comedy|Drama|Film-Noir
1066,2006,Lyda Hachard,8.1,Action|Adventure|War
Shipwrecked (a.k.a. Haakon Haakonsen),1985,Tana Cornelleau,3.87,Adventure|Children
Lost Boys: The Tribe,2013,Siward Spondley,3.14,Comedy|Horror|Thriller
Midnight in Paris,2003,Terrance Van Oord,5.94,Comedy|Fantasy|Romance
Derailed,1991,Kerby Botly,3.4,Drama|Thriller
The Periwig-Maker,1995,Horatia Dulake,1.11,Animation
Trail of the Screaming Forehead,2011,Freida Morot,0.74,Comedy|Sci-Fi
IMAX: Coral Reef Adventure,2005,Hersch Gavahan,3.38,Children|Documentary|IMAX
Pandora and the Flying Dutchman,1990,Joey Marrable,2.33,Drama
Counterfeiters. The (Die Fälscher),1995,Lea Stibbs,1.39,Crime|Drama|War
"Emmett""s Mark",1989,Benedikta Duffield,0.54,Crime|Drama|Thriller
April Love,2001,Davon Imm,7.38,Comedy|Drama|Musical
My Bloody Valentine,2010,Wallache Longbottom,1.47,Drama|Horror|Thriller
Other One. The,2010,Pier Truse,5.08,Drama|Mystery
Ruling Class. The,2009,Eulalie Stronghill,9.24,Comedy|Drama
Reflections in a Golden Eye,1993,Lanae Donaho,1.1,Drama
Johnny 100 Pesos (Johnny cien pesos),2006,Trude Redwood,1.24,Action|Drama
Uncommon Valor,2001,Frans Maylor,0.14,Action|War
Magical Mystery Tour,2005,Langsdon Dugald,5.87,Comedy|Musical
Underworld: Evolution,2013,Sydney Stileman,7.97,Action|Fantasy|Horror
Alien Nation: The Udara Legacy,1987,Bartie Brooke,1.61,Sci-Fi
Indian in the Cupboard. The,1996,Roby Shortland,7.2,Adventure|Children|Fantasy
Innocent Sleep. The,2008,Eyde Northern,4.76,Crime
"Joe Gould""s Secret",2001,Jaclyn Ivakin,8.18,Drama
Dream Team 1935,2000,Pansie Demead,4.96,Comedy|Drama
George Harrison: Living in the Material World,1990,Elsinore Karpe,2.51,Documentary
Yearling. The,2002,Adeline Creamen,1.97,Adventure|Children|Drama
White. Red and Verdone,1988,Bill Dmych,2.86,Comedy
Living on One Dollar,1995,Janis Burfield,9.29,Adventure|Documentary|Drama
Girl Cut in Two. The (Fille coupée en deux. La),1999,Mal Gilkison,9.31,Drama|Thriller
47  Ronin (Shijûshichinin no shikaku),1999,Nikki Ruller,7.37,Action|Drama
Tale of Princess Kaguya. The (Kaguyahime no monogatari),1987,Nanice Piscopiello,7.15,Animation|Drama|Fantasy
Lauderdale (a.k.a. Spring Break USA) (a.k.a. Spring Fever USA),2003,Marv Ferrige,9.53,Comedy
Private Life of Don Juan. The,2001,Idalia Brockwell,3.91,Comedy|Drama|Romance
Safe,2000,Sammy Scotchford,8.67,Thriller
Sasayaki (a.k.a. Moonlight Whispers) (Gekkô no sasayaki),1995,Fayth De Hoogh,6.54,Drama|Romance
Three Fugitives,2007,Gianina Copestake,2.04,Action|Comedy
Entertaining Angels: The Dorothy Day Story,2011,Jud Hillyatt,4.95,Drama
51,2008,Deck Cholwell,7.82,Horror|Sci-Fi
Captain Conan (Capitaine Conan),2004,Alyse Willey,4.51,Drama|War
Substitute. The,2006,Trenna Rawnsley,1.5,Action|Crime|Drama
Point. The,1992,Stevena Knutton,9.72,Animation|Children|Fantasy|Musical
La Putain du roi,2006,Price Huggill,9.76,Drama|Romance
Ollin oppivuodet,1964,Gabe Meaton,6.71,Drama
Clown,2009,Blinny Larsen,8.27,Drama|Horror
Passing Fancy (Dekigokoro),2001,Gerri Gianulli,9.67,Drama
Arthur and the Revenge of Maltazard (Arthur et la vengeance de Maltazard),1997,Corrine Summersby,3.12,Animation|Children|Fantasy
48 Shades,1997,Carlin Twohig,7.8,Comedy|Drama
I Will Follow You Into the Dark,2006,Findlay Tivnan,2.19,Drama|Horror|Romance
Superproduction (Superprodukcja),2003,Louisa Wadge,5.32,Comedy
Importance of Being Earnest. The,2007,Ysabel Greetham,1.54,Comedy|Drama|Romance
Come September,1992,Gannie Ruckman,4.09,Comedy
Safe,2009,Grier Shawcross,9.92,Thriller
Razorback,2002,Pyotr Dawidowitz,5.85,Horror|Thriller
Advise and Consent,1994,Wayne Weyland,3.85,Drama
I Sell the Dead,1995,Babette Dils,6.24,Comedy|Horror
Legion of the Dead,2008,Tabbi Quinnelly,1.99,Comedy|Horror
In the Name of the Law,2003,Richard Askem,8.92,Drama
Hercules,2007,Gar Saterweyte,6.07,Action|Adventure
Carnosaur 2,1993,Gwen Dunbobin,1.56,Horror|Sci-Fi
Rent-A-Cop,2010,Florinda Pietrusiak,8.42,Action|Comedy|Crime
Cactus Flower,1998,Pier Sparkwell,1.14,Comedy
Gunless,1998,Chick Saward,3.98,Action|Comedy|Drama|Western
"She""s Out of Control",2001,Frederique Beckhurst,6.4,Comedy
Paris Trout,2006,Aubert Malarkey,2.88,Drama
Walk on the Moon. A,2002,Tiphanie Trevithick,4.89,Drama|Romance
Quadrille,2004,Noellyn Cleave,3.26,Comedy|Romance
Experience. The (Tadjrebeh),1984,Erich Goundsy,1.36,Drama
Get Real,1993,Cosmo MacCoughan,5.1,Drama|Romance
Mystery Science Theater 3000: The Movie,2008,Yanaton Candelin,3.09,Comedy|Sci-Fi
Four Sided Triangle,2009,Elita Hitschke,4.02,Romance|Sci-Fi
We Need to Talk About Kevin,2001,Flory Derl,7.43,Drama|Thriller
Harmontown,2010,Montgomery Pierce,3.77,Documentary
Disappearance of Alice Creed. The,1998,Kenny Veal,5.21,Thriller
Chicago Overcoat,1992,Pierette Colbeck,2.46,Action|Drama
Hangmen Also Die,2006,Cort Brackley,3.9,Drama|War
Pont du Nord. Le,1994,Brew Sherburn,6.13,Comedy|Fantasy|Mystery
"Amy""s O (a.k.a. Amy""s Orgasm)",1984,Sashenka Sothern,7.47,Comedy|Romance
Avalon,2009,Florette Roebottom,2.57,Drama
